Julian_Day, SANSA_foF2, Measured_foF2, ICEPAC_foF2, Kp, F10, Dst
202106902,3.11223205244391,3.55,3.1307692307692307,0.0,75.3,1.0
202106903,2.8731157303284363,3.55,3.707692307692308,0.0,75.3,2.0
202106904,4.034909164954705,3.45,4.6000000000000005,0.0,75.3,4.0
202106905,5.152518061798767,3.7,5.6923076923076925,0.0,75.3,4.0
202106906,5.557976173211962,4.65,6.792307692307692,0.0,75.3,5.0
202106907,5.794493404869658,5.55,7.699999999999999,0.0,75.3,5.0
202106908,6.082992445682893,5.95,8.299999999999999,0.0,75.3,6.0
202106909,6.800341412029313,4.35,8.53076923076923,0.3,75.3,6.0
202106910,6.886111397135952,6.7,8.446153846153846,0.3,75.3,7.0
202106911,6.631400532273818,7.45,8.123076923076923,0.3,75.3,5.0
202106912,6.914701392171497,nan,7.615384615384615,0.0,75.3,5.0
202106913,6.802940502487091,nan,6.961538461538462,0.0,75.3,7.0
202106914,6.76915232653599,6.95,6.184615384615384,0.0,75.3,6.0
202106915,6.103785169345107,6.25,5.315384615384615,0.3,75.3,6.0
202106916,5.758106138460782,6.25,4.43076923076923,0.3,75.3,5.0
202106917,4.13887278326578,6.0,3.646153846153846,0.3,75.3,4.0
202106918,3.8529728329103223,5.5,3.0692307692307694,1.3,75.3,6.0
202106919,3.3045647463193992,4.55,2.753846153846154,1.3,75.3,7.0
202106920,3.2993665654038464,3.5,2.6769230769230767,1.3,75.3,8.0
202106921,3.1226284142750176,3.55,2.7384615384615385,0.3,75.3,12.0
202106922,3.2213938516705394,3.45,2.8153846153846156,0.3,75.3,12.0
202106923,2.9302957203995277,3.4,2.830769230769231,0.3,75.3,13.0
202107000,3.3052901323285546,3.45,2.9307692307692306,0.0,74.6,10.0
202107001,2.919050793384021,3.5,2.9615384615384617,0.0,74.6,9.0
202107002,3.083846244667022,3.4,3.2076923076923074,0.0,74.6,9.0
202107003,2.8469527834477084,3.1,3.7846153846153845,0.3,74.6,9.0
202107004,3.9979460135024185,2.9,4.676923076923077,0.3,74.6,9.0
202107005,5.105165451810081,3.25,5.776923076923077,0.3,74.6,10.0
202107006,5.506854364312397,4.8,6.884615384615384,0.0,74.6,9.0
202107007,5.741172896605414,5.15,7.8076923076923075,0.0,74.6,6.0
202107008,6.026990007424367,5.8,8.415384615384614,0.0,74.6,6.0
202107009,6.737670391082309,5.85,8.661538461538461,0.3,74.6,7.0
202107010,6.822643045650106,7.0,8.584615384615384,0.3,74.6,8.0
202107011,6.570300010873012,nan,8.26153846153846,0.3,74.6,8.0
202107012,6.8509672638393715,nan,7.746153846153846,0.7,74.6,8.0
202107013,6.740245320008606,nan,7.069230769230769,0.7,74.6,6.0
202107014,6.706771243966746,6.5,6.269230769230769,0.7,74.6,6.0
